tri,x0,y0,z0,x1,y1,z1,x2,y2,z2,energy
0,10.000000,0.000000,20.000000,11.000000,0.000000,20.000000,10.000000,1.000000,20.000000,0.299809
1,11.000000,0.000000,20.000000,11.000000,1.000000,20.000000,10.000000,1.000000,20.000000,0.299428
2,11.000000,0.000000,20.000000,12.000000,0.000000,20.000000,11.000000,1.000000,20.000000,0.298287
3,12.000000,0.000000,20.000000,12.000000,1.000000,20.000000,11.000000,1.000000,20.000000,0.297872
4,12.000000,0.000000,20.000000,13.000000,0.000000,20.000000,12.000000,1.000000,20.000000,0.296915
5,13.000000,0.000000,20.000000,13.000000,1.000000,20.000000,12.000000,1.000000,20.000000,0.296331
6,13.000000,0.000000,20.000000,14.000000,0.000000,20.000000,13.000000,1.000000,20.000000,0.295275
7,14.000000,0.000000,20.000000,14.000000,1.000000,20.000000,13.000000,1.000000,20.000000,0.294772
8,14.000000,0.000000,20.000000,15.000000,0.000000,20.000000,14.000000,1.000000,20.000000,0.293740
9,15.000000,0.000000,20.000000,15.000000,1.000000,20.000000,14.000000,1.000000,20.000000,0.293462
10,15.000000,0.000000,20.000000,16.000000,0.000000,20.000000,15.000000,1.000000,20.000000,0.291924
11,16.000000,0.000000,20.000000,16.000000,1.000000,20.000000,15.000000,1.000000,20.000000,0.291624
12,16.000000,0.000000,20.000000,17.000000,0.000000,20.000000,16.000000,1.000000,20.000000,0.290083
13,17.000000,0.000000,20.000000,17.000000,1.000000,20.000000,16.000000,1.000000,20.000000,0.289115
14,17.000000,0.000000,20.000000,18.000000,0.000000,20.000000,17.000000,1.000000,20.000000,0.288263
15,18.000000,0.000000,20.000000,18.000000,1.000000,20.000000,17.000000,1.000000,20.000000,0.287921
16,18.000000,0.000000,20.000000,19.000000,0.000000,20.000000,18.000000,1.000000,20.000000,0.286301
17,19.000000,0.000000,20.000000,19.000000,1.000000,20.000000,18.000000,1.000000,20.000000,0.285550
18,19.000000,0.000000,20.000000,20.000000,0.000000,20.000000,19.000000,1.000000,20.000000,0.284566
19,20.000000,0.000000,20.000000,20.000000,1.000000,20.000000,19.000000,1.000000,20.000000,0.284174
20,10.000000,1.000000,20.000000,11.000000,1.000000,20.000000,10.000000,2.000000,20.000000,0.299603
21,11.000000,1.000000,20.000000,11.000000,2.000000,20.000000,10.000000,2.000000,20.000000,0.299464
22,11.000000,1.000000,20.000000,12.000000,1.000000,20.000000,11.000000,2.000000,20.000000,0.298226
23,12.000000,1.000000,20.000000,12.000000,2.000000,20.000000,11.000000,2.000000,20.000000,0.297952
24,12.000000,1.000000,20.000000,13.000000,1.000000,20.000000,12.000000,2.000000,20.000000,0.296860
25,13.000000,1.000000,20.000000,13.000000,2.000000,20.000000,12.000000,2.000000,20.000000,0.296418
26,13.000000,1.000000,20.000000,14.000000,1.000000,20.000000,13.000000,2.000000,20.000000,0.295209
27,14.000000,1.000000,20.000000,14.000000,2.000000,20.000000,13.000000,2.000000,20.000000,0.294887
28,14.000000,1.000000,20.000000,15.000000,1.000000,20.000000,14.000000,2.000000,20.000000,0.293385
29,15.000000,1.000000,20.000000,15.000000,2.000000,20.000000,14.000000,2.000000,20.000000,0.292810
30,15.000000,1.000000,20.000000,16.000000,1.000000,20.000000,15.000000,2.000000,20.000000,0.291899
31,16.000000,1.000000,20.000000,16.000000,2.000000,20.000000,15.000000,2.000000,20.000000,0.291371
32,16.000000,1.000000,20.000000,17.000000,1.000000,20.000000,16.000000,2.000000,20.000000,0.290018
33,17.000000,1.000000,20.000000,17.000000,2.000000,20.000000,16.000000,2.000000,20.000000,0.289350
34,17.000000,1.000000,20.000000,18.000000,1.000000,20.000000,17.000000,2.000000,20.000000,0.288252
35,18.000000,1.000000,20.000000,18.000000,2.000000,20.000000,17.000000,2.000000,20.000000,0.288163
36,18.000000,1.000000,20.000000,19.000000,1.000000,20.000000,18.000000,2.000000,20.000000,0.286268
37,19.000000,1.000000,20.000000,19.000000,2.000000,20.000000,18.000000,2.000000,20.000000,0.285835
38,19.000000,1.000000,20.000000,20.000000,1.000000,20.000000,19.000000,2.000000,20.000000,0.284117
39,20.000000,1.000000,20.000000,20.000000,2.000000,20.000000,19.000000,2.000000,20.000000,0.283882
40,10.000000,2.000000,20.000000,11.000000,2.000000,20.000000,10.000000,3.000000,20.000000,0.299440
41,11.000000,2.000000,20.000000,11.000000,3.000000,20.000000,10.000000,3.000000,20.000000,0.298695
42,11.000000,2.000000,20.000000,12.000000,2.000000,20.000000,11.000000,3.000000,20.000000,0.298095
43,12.000000,2.000000,20.000000,12.000000,3.000000,20.000000,11.000000,3.000000,20.000000,0.297728
44,12.000000,2.000000,20.000000,13.000000,2.000000,20.000000,12.000000,3.000000,20.000000,0.296578
45,13.000000,2.000000,20.000000,13.000000,3.000000,20.000000,12.000000,3.000000,20.000000,0.296055
46,13.000000,2.000000,20.000000,14.000000,2.000000,20.000000,13.000000,3.000000,20.000000,0.295071
47,14.000000,2.000000,20.000000,14.000000,3.000000,20.000000,13.000000,3.000000,20.000000,0.294518
48,14.000000,2.000000,20.000000,15.000000,2.000000,20.000000,14.000000,3.000000,20.000000,0.293233
49,15.000000,2.000000,20.000000,15.000000,3.000000,20.000000,14.000000,3.000000,20.000000,0.292830
50,15.000000,2.000000,20.000000,16.000000,2.000000,20.000000,15.000000,3.000000,20.000000,0.291612
51,16.000000,2.000000,20.000000,16.000000,3.000000,20.000000,15.000000,3.000000,20.000000,0.291417
52,16.000000,2.000000,20.000000,17.000000,2.000000,20.000000,16.000000,3.000000,20.000000,0.289875
53,17.000000,2.000000,20.000000,17.000000,3.000000,20.000000,16.000000,3.000000,20.000000,0.289189
54,17.000000,2.000000,20.000000,18.000000,2.000000,20.000000,17.000000,3.000000,20.000000,0.287725
55,18.000000,2.000000,20.000000,18.000000,3.000000,20.000000,17.000000,3.000000,20.000000,0.286742
56,18.000000,2.000000,20.000000,19.000000,2.000000,20.000000,18.000000,3.000000,20.000000,0.286155
57,19.000000,2.000000,20.000000,19.000000,3.000000,20.000000,18.000000,3.000000,20.000000,0.285125
58,19.000000,2.000000,20.000000,20.000000,2.000000,20.000000,19.000000,3.000000,20.000000,0.284231
59,20.000000,2.000000,20.000000,20.000000,3.000000,20.000000,19.000000,3.000000,20.000000,0.283724
60,10.000000,3.000000,20.000000,11.000000,3.000000,20.000000,10.000000,4.000000,20.000000,0.299206
61,11.000000,3.000000,20.000000,11.000000,4.000000,20.000000,10.000000,4.000000,20.000000,0.298397
62,11.000000,3.000000,20.000000,12.000000,3.000000,20.000000,11.000000,4.000000,20.000000,0.297615
63,12.000000,3.000000,20.000000,12.000000,4.000000,20.000000,11.000000,4.000000,20.000000,0.296942
64,12.000000,3.000000,20.000000,13.000000,3.000000,20.000000,12.000000,4.000000,20.000000,0.296361
65,13.000000,3.000000,20.000000,13.000000,4.000000,20.000000,12.000000,4.000000,20.000000,0.295871
66,13.000000,3.000000,20.000000,14.000000,3.000000,20.000000,13.000000,4.000000,20.000000,0.294668
67,14.000000,3.000000,20.000000,14.000000,4.000000,20.000000,13.000000,4.000000,20.000000,0.293901
68,14.000000,3.000000,20.000000,15.000000,3.000000,20.000000,14.000000,4.000000,20.000000,0.293005
69,15.000000,3.000000,20.000000,15.000000,4.000000,20.000000,14.000000,4.000000,20.000000,0.292333
70,15.000000,3.000000,20.000000,16.000000,3.000000,20.000000,15.000000,4.000000,20.000000,0.291143
71,16.000000,3.000000,20.000000,16.000000,4.000000,20.000000,15.000000,4.000000,20.000000,0.290290
72,16.000000,3.000000,20.000000,17.000000,3.000000,20.000000,16.000000,4.000000,20.000000,0.289430
73,17.000000,3.000000,20.000000,17.000000,4.000000,20.000000,16.000000,4.000000,20.000000,0.289159
74,17.000000,3.000000,20.000000,18.000000,3.000000,20.000000,17.000000,4.000000,20.000000,0.287765
75,18.000000,3.000000,20.000000,18.000000,4.000000,20.000000,17.000000,4.000000,20.000000,0.286486
76,18.000000,3.000000,20.000000,19.000000,3.000000,20.000000,18.000000,4.000000,20.000000,0.285961
77,19.000000,3.000000,20.000000,19.000000,4.000000,20.000000,18.000000,4.000000,20.000000,0.285160
78,19.000000,3.000000,20.000000,20.000000,3.000000,20.000000,19.000000,4.000000,20.000000,0.284042
79,20.000000,3.000000,20.000000,20.000000,4.000000,20.000000,19.000000,4.000000,20.000000,0.282903
80,10.000000,4.000000,20.000000,11.000000,4.000000,20.000000,10.000000,5.000000,20.000000,0.298488
81,11.000000,4.000000,20.000000,11.000000,5.000000,20.000000,10.000000,5.000000,20.000000,0.298045
82,11.000000,4.000000,20.000000,12.000000,4.000000,20.000000,11.000000,5.000000,20.000000,0.297061
83,12.000000,4.000000,20.000000,12.000000,5.000000,20.000000,11.000000,5.000000,20.000000,0.296550
84,12.000000,4.000000,20.000000,13.000000,4.000000,20.000000,12.000000,5.000000,20.000000,0.295624
85,13.000000,4.000000,20.000000,13.000000,5.000000,20.000000,12.000000,5.000000,20.000000,0.294921
86,13.000000,4.000000,20.000000,14.000000,4.000000,20.000000,13.000000,5.000000,20.000000,0.294359
87,14.000000,4.000000,20.000000,14.000000,5.000000,20.000000,13.000000,5.000000,20.000000,0.293040
88,14.000000,4.000000,20.000000,15.000000,4.000000,20.000000,14.000000,5.000000,20.000000,0.292698
89,15.000000,4.000000,20.000000,15.000000,5.000000,20.000000,14.000000,5.000000,20.000000,0.291956
90,15.000000,4.000000,20.000000,16.000000,4.000000,20.000000,15.000000,5.000000,20.000000,0.290788
91,16.000000,4.000000,20.000000,16.000000,5.000000,20.000000,15.000000,5.000000,20.000000,0.290096
92,16.000000,4.000000,20.000000,17.000000,4.000000,20.000000,16.000000,5.000000,20.000000,0.289102
93,17.000000,4.000000,20.000000,17.000000,5.000000,20.000000,16.000000,5.000000,20.000000,0.288539
94,17.000000,4.000000,20.000000,18.000000,4.000000,20.000000,17.000000,5.000000,20.000000,0.287145
95,18.000000,4.000000,20.000000,18.000000,5.000000,20.000000,17.000000,5.000000,20.000000,0.286144
96,18.000000,4.000000,20.000000,19.000000,4.000000,20.000000,18.000000,5.000000,20.000000,0.285412
97,19.000000,4.000000,20.000000,19.000000,5.000000,20.000000,18.000000,5.000000,20.000000,0.284809
98,19.000000,4.000000,20.000000,20.000000,4.000000,20.000000,19.000000,5.000000,20.000000,0.283155
99,20.000000,4.000000,20.000000,20.000000,5.000000,20.000000,19.000000,5.000000,20.000000,0.282852
100,10.000000,5.000000,20.000000,11.000000,5.000000,20.000000,10.000000,6.000000,20.000000,0.298054
101,11.000000,5.000000,20.000000,11.000000,6.000000,20.000000,10.000000,6.000000,20.000000,0.297334
102,11.000000,5.000000,20.000000,12.000000,5.000000,20.000000,11.000000,6.000000,20.000000,0.296607
103,12.000000,5.000000,20.000000,12.000000,6.000000,20.000000,11.000000,6.000000,20.000000,0.295841
104,12.000000,5.000000,20.000000,13.000000,5.000000,20.000000,12.000000,6.000000,20.000000,0.295008
105,13.000000,5.000000,20.000000,13.000000,6.000000,20.000000,12.000000,6.000000,20.000000,0.294426
106,13.000000,5.000000,20.000000,14.000000,5.000000,20.000000,13.000000,6.000000,20.000000,0.293736
107,14.000000,5.000000,20.000000,14.000000,6.000000,20.000000,13.000000,6.000000,20.000000,0.292556
108,14.000000,5.000000,20.000000,15.000000,5.000000,20.000000,14.000000,6.000000,20.000000,0.292064
109,15.000000,5.000000,20.000000,15.000000,6.000000,20.000000,14.000000,6.000000,20.000000,0.291569
110,15.000000,5.000000,20.000000,16.000000,5.000000,20.000000,15.000000,6.000000,20.000000,0.290230
111,16.000000,5.000000,20.000000,16.000000,6.000000,20.000000,15.000000,6.000000,20.000000,0.289351
112,16.000000,5.000000,20.000000,17.000000,5.000000,20.000000,16.000000,6.000000,20.000000,0.288696
113,17.000000,5.000000,20.000000,17.000000,6.000000,20.000000,16.000000,6.000000,20.000000,0.287499
114,17.000000,5.000000,20.000000,18.000000,5.000000,20.000000,17.000000,6.000000,20.000000,0.286535
115,18.000000,5.000000,20.000000,18.000000,6.000000,20.000000,17.000000,6.000000,20.000000,0.285885
116,18.000000,5.000000,20.000000,19.000000,5.000000,20.000000,18.000000,6.000000,20.000000,0.285027
117,19.000000,5.000000,20.000000,19.000000,6.000000,20.000000,18.000000,6.000000,20.000000,0.283855
118,19.000000,5.000000,20.000000,20.000000,5.000000,20.000000,19.000000,6.000000,20.000000,0.282737
119,20.000000,5.000000,20.000000,20.000000,6.000000,20.000000,19.000000,6.000000,20.000000,0.282412
120,10.000000,6.000000,20.000000,11.000000,6.000000,20.000000,10.000000,7.000000,20.000000,0.297304
121,11.000000,6.000000,20.000000,11.000000,7.000000,20.000000,10.000000,7.000000,20.000000,0.296486
122,11.000000,6.000000,20.000000,12.000000,6.000000,20.000000,11.000000,7.000000,20.000000,0.296068
123,12.000000,6.000000,20.000000,12.000000,7.000000,20.000000,11.000000,7.000000,20.000000,0.295220
124,12.000000,6.000000,20.000000,13.000000,6.000000,20.000000,12.000000,7.000000,20.000000,0.294446
125,13.000000,6.000000,20.000000,13.000000,7.000000,20.000000,12.000000,7.000000,20.000000,0.293824
126,13.000000,6.000000,20.000000,14.000000,6.000000,20.000000,13.000000,7.000000,20.000000,0.292657
127,14.000000,6.000000,20.000000,14.000000,7.000000,20.000000,13.000000,7.000000,20.000000,0.291997
128,14.000000,6.000000,20.000000,15.000000,6.000000,20.000000,14.000000,7.000000,20.000000,0.290982
129,15.000000,6.000000,20.000000,15.000000,7.000000,20.000000,14.000000,7.000000,20.000000,0.290686
